date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:30:23	178548/178548	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22abe336696b40d1317463a8303747d92a%22	https://kishu.com/fonts/POPPINS-SEMIBOLDITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-SEMIBOLDITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:24	158192/158192	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2264b7d392fac0c67d50ad3a83afb45f0a%22	https://kishu.com/fonts/POPPINS-REGULAR.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-REGULAR.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:24	180412/180412	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22068b3d7e9e39710d7459806009e1e9d8%22	https://kishu.com/fonts/POPPINS-MEDIUMITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-MEDIUMITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:25	155192/155192	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22069489590fc4f4ac9b3a5d4a975fc9e5%22	https://kishu.com/fonts/POPPINS-SEMIBOLD.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-SEMIBOLD.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:26	161600/161600	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%220c41847ff1a80f0ff27e34ecbae69970%22	https://kishu.com/fonts/POPPINS-THIN.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-THIN.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:27	186992/186992	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22f6c1d3bcee1d551669cbaf854f828fa4%22	https://kishu.com/fonts/POPPINS-THINITALIC.TTF	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/POPPINS-THINITALIC.TTF	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:27	33736/33736	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%226022d7d5766fbd22dcdaa291625526b9%22	https://kishu.com/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/fa-regular-400.ttf	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:28	165548/165548	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22fe8a65ca90c4446e40e0c4232395a977%22	https://kishu.com/fonts/fontawesome-webfont.ttf	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/fontawesome-webfont.ttf	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:29	134040/134040	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2266d762a28e8cd583b7b8ff68a557b5d8%22	https://kishu.com/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/fa-brands-400.ttf	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jun%202021%2010:30:31%20GMT	https://kishu.com/buy	C:/My%20Web%20Sites/Kishu/kishu.com/buy	(from https://kishu.com/GET)
03:30:30	202744/202744	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22a4cd55bd8d6835b08c04c2f180963b85%22	https://kishu.com/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/Kishu/kishu.com/fonts/fa-solid-900.ttf	(from https://kishu.com/css/kishu-finance.webflow.css)
03:30:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jun%202021%2010:30:32%20GMT	https://kishu.com/buy	C:/My%20Web%20Sites/Kishu/kishu.com/buy	(from https://kishu.com/GET)
03:30:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jun%202021%2010:30:33%20GMT	https://kishu.com/buy	C:/My%20Web%20Sites/Kishu/kishu.com/buy	(from https://kishu.com/GET)
03:30:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jun%202021%2010:30:33%20GMT	https://kishu.com/buy	C:/My%20Web%20Sites/Kishu/kishu.com/buy	(from https://kishu.com/GET)
